"IDAutor","AutorName","Active"
"1","Поливанов П.Н.","true"
"2","Буров Г.М.","true"
"3","Сташенков Д.А.","true"
"4","Габяшев Р.С., Казаков Е.П., Старостин П.Н., Халиков А.Х., Хлебникова Т.А.","true"
"5","Казаков Е.П., Старостин П.Н., Халиков А.Х.","true"
"6","Казаков Е.П., Косменко М.Г., Старостин П.Н.","true"
"7","Ефимова А.М.","true"
"8","Жиромский Б.Б.","true"
"9","Шпилевский С.М.","true"
"10","Старостин П.Н.","true"
"11","Калинин Н.Ф., Халиков А.Х.","true"
"12","Юнусова Р.М.","true"
"13","Лифанов Н.А.","true"
"14","Кочкина А.Ф., Сташенков Д.А.","true"
"15","Казаков Е.П.","true"
"16","Руденко К.А.","true"
"17","Степанов П.Д.","true"
"18","Матвеева Г.И., Морозов В.Ю.","true"
"19","Пестрикова В.И.","true"
"20","Матвеева Г.И.","true"
"21","Фахрутдинов Р.Г.","true"
"22","Скарбовенко В.А.","true"
"23","Кузнецова Л.В.","true"
"24","Баров Л.А.","true"
"25","Серых Д.В.","true"
"26","Дубман Э.Л., Мышкин В.Н.","true"
"27","Казаков Е.П., Ледяйкин В.И., Старостин П.Н., Халиков А.Х.","true"
"28","Салугина Н.П.","true"
"29","Кочкина А.Ф.","true"
"30","Набоков А.В.","true"
"31","Калинин Н.Ф.","true"
"32","Дубман Э.Л.","true"
"33","Воскресенский А.С.","true"
"34","Беговатов Е.А.","true"
"35","Трубникова Н.В.","true"
"36","Смирнов А.П.","true"
"37","Старостин П.Н., Габяшев Р.С.","true"
"38","Зеленев Ю.А., Артемова В.Д.","true"
"39","Смолин В.Ф.","true"
"40","Генинг В.Ф.","true"
"41","Матвеева Г.М., Ключникова Р.М.","true"
"42","Габяшев Р.С.","true"
"43","Халиков А.Х.","true"
"44","Ледяйкин В.И.","true"
"45","Мышкин В.Н.","true"
"46","Артемова В.Д.","true"
"47","Ключникова Р.М.","true"
"48","Зеленев Ю.А.","true"
"49","Хлебникова Т.А.","true"
"50","Косменко М.Г.","true"
"51","Морозов В.Ю.","true"
"52","Морозова С.В.","true"
"53","Ишмуратова Г.Р.","true"
"54","Гольмстен В.В.","true"
"56","Семыкин Ю.А.","true"
"57","Чижевский А.А.","true"
"58","Газимзянов И.Р., Измайлов И.Л.","true"
"59","Бугров Д.Г., Руденко К.А, Хабаров В.В., Шайхутдинов Р.Р.","true"
"60","Губайдуллин А.Р., Измайлов И.Л.","true"
"61","Старостин П.Н., Чижевский А.А.","true"
"62","Генинг В.Ф., Стоянов В.Е., Хлебникова Т.А., Вайнер И.С., Казаков Е.П., Валеев Р.К.","true"
"63","АЭ КФАН","true"
"64","Смирнов А.П., Калинин Н.Ф.","true"
"65","Збруева А.В.","true"
"66","АЭ ИЯЛИ","true"
"67","Халиков А.Х., Генинг В.Ф.","true"
"68","АЭ ГМТР","true"
"69","Вязов Л.А.","true"
"70","Смирнов А.П., Тихомирова В.А.","true"
"71","Мерперт Н.Я.","true"
"72","Пономарев П.А.","true"
"73","Васильев И.Б.","true"
"74","ТАЭ","true"
"75","Зубов С.Э., Приказчиков С.И.","true"
"76","Измайлов И.Л.","true"
"77","Халикова Е.А.","true"
"78","Спицын А.А.","true"
"94","Стоянов А.Н.","true"
"95","Штукенберг А.А.","true"
"96","Кожевников В.С.","true"
"97","Васильева И.Н.","true"
"98","Смирнов А.П., Каховский В.Ф.","true"
"99","Тамбовцев Л.","true"
"100","Агапов С.А.","true"
"101","Выборнов А.Л., Кузьмина О.В.","true"
"102","Семенова А.П.","true"
"103","Бугрова Н.А.","true"
"104","Истомин К.Э., Лыганов А.В.","true"
"105","Истомин К.Э.","true"
"106","Березина Н.С.","true"
"107","Губайдуллин А.М., Газимзянов И.Р.","true"
"108","Каховский В.Ф.","true"
"109","Мясников Н.С.","true"
"110","Новиков Ю.Б.","true"
"111","Коноваленко А.В., Макеев А.А.","true"
"112","Коноваленко А.В.","true"
"113","Матвеева Г.И., Вязов Л.А., Гасилин В.В.","true"
"114","Обломский А.М.","true"
"115","Петренко А.Г.","true"
"116","Петров Ю.А.","true"
"117","Агапов С.А., Пестрикова В.И., Салугина Н.П.","true"
"118","Фадеев В.Г.","true"
"119","Галимова М.Ш.","true"
"120","Ахмаров Г.А.","true"
"122","Березина Н.С., Березин А.Ю., Коноваленко А.В.","true"
"123","Вискалин А.В., Березина Н.С., Березин А.Ю., Выборнов А.А., Королев А.И., Ставицкий В.В., Коноваленко А.В.","true"
"124","Петрова Д.А.","true"
"125","Гисматулин М.Р.","true"
"126","Мартынов П.Л.","true"
"127","Бурундуков Р.Р., Вискалин А.В.","true"
"128",,"true"
"129","Бурундуков Р.Р.","true"
"130","Вискалин А.В.","true"
"131","Пиндюрин М.В.","true"
"132","Халиков А.Х., Косменко М.Г., Габяшев Р.С., Старолстин П.Н., Казаков Е.П.","true"
"133","Сидоров В.Н., Старостин П.Н.","true"
"134","Лыганов А.В.","true"
"135","Худяков М.Г.","true"
"136","Салова Ю.А.","true"
"137","Хамзин Р.Н.","true"
"79","Крамарев А.И.","true"
"80","Расторопов А.В.","true"
"81","Зудина В.Н.","true"
"82","Мажанова И.Н.","true"
"83","КАЭ","true"
"84","Богачев А.В.","true"
"85","Безухова Е.А., Халиков А.Х.","true"
"86","Семыкин Ю.А., Вязов Л.А., Нерушин И.А.","true"
"87","Седова М.С.","true"
"88","Багаутдинов Р.С.","true"
"89","Болгарский отряд ПАЭ","true"
"90","Старостин П.Н., Халиков А.Х., Халикова Е.А.","true"
"91","Мальков А.И.","true"
"92","Казаков Е.П., Старостин П.Н.","true"
"93","Карасев В.","true"
